directory,method,min_fitness,achieving_seeds,seed_count
01,greedy,12881.1,"s17, s21, s2, s30, s11, s28, s6, s25, s4, s14, s7, s3, s29, s15, s9, s20, s24, s19, s10, s22, s1, s23, s12, s16, s8, s13, s27, s26, s5",29
01,mcfp,12881.1,"s8, s19, s17, s27, s12, s15, s10, s29, s6, s3, s23, s24, s11, s14, s5, s22, s13, s18, s26, s7, s20, s9, s25, s21, s30, s2, s1, s28, s4, s16",30
02,greedy,29936500000.0,s14,1
02,mcfp,23711400000.0,"s4, s23, s21, s7, s26, s6, s22, s27, s8, s15, s25, s12, s1, s2, s16, s10, s20, s17, s29, s30, s3, s28, s9, s18, s5, s19, s11, s24, s13, s14",30
03,greedy,7577430.0,s15,1
03,mcfp,7699950.0,s8,1
04,greedy,81.3672,"s16, s10, s21, s28, s22, s23, s17, s15",8
04,mcfp,81.3672,"s28, s21, s13, s18, s27, s5, s10, s6, s29, s1, s23, s12, s19, s17, s26, s4, s30, s3, s25, s24, s9, s15, s7, s2, s8, s11, s20, s16, s22, s14",30
05,greedy,9304120.0,s2,1
05,mcfp,9287770.0,s11,1
06,greedy,3966060000.0,s14,1
06,mcfp,3750330000.0,s17,1
07,greedy,2398280.0,"s22, s2, s11, s5, s24, s10, s30, s25, s8, s7, s1, s27, s18, s16, s3, s14, s6, s15, s28, s17, s12",21
07,mcfp,2398280.0,"s13, s21, s5, s2, s30, s20, s18, s11, s26, s8, s23, s19, s17, s27, s9, s6, s25, s12, s7, s1, s24, s16, s10, s22, s4, s3, s29, s14, s28, s15",30
08,greedy,1364130.0,"s28, s16, s24, s18, s30, s7, s12, s5",8
08,mcfp,1364130.0,"s26, s14, s13, s30, s2, s1, s22, s10, s3, s9, s4, s18, s27, s11, s17, s25, s12, s29, s7, s8, s24, s6, s16, s20, s15, s23, s5, s19, s28, s21",30
09,greedy,283.867,s24,1
09,mcfp,282.891,s13,1
10,greedy,608.935,s22,1
10,mcfp,605.601,"s18, s11, s3, s10, s23, s22, s20, s2, s15, s19, s14, s24, s21, s30, s7",15
